precio,tipo_inmueble,numero_habitaciones,numero_banos,metros_cuadrados,barrio_ubicacion
$ 3.500.000,"Apartamento en Medellín, Antioquia",1 Hab ,2 Baños,52 m²,"Apartamento en arriendo en simesa, medellín"
$ 4.150.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,90 m²,"Apartamento en arriendo en envigado, medellín"
$ 1.450.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,40 m²,Apartamento en arriendo en medellín
$ 34.000.000,"Casa en Medellín, Antioquia",1 Hab ,6 Baños,400 m²,"Casa en arriendo en la aguacatala, medellín"
$ 3.750.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,150 m²,"Apartamento en arriendo en nueva villa de aburra, medellín"
$ 1.350.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,50 m²,"Apartamento en arriendo en sevilla, medellín"
$ 6.200.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,160 m²,"Apartamento en arriendo en el poblado, medellín"
$ 3.500.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,78 m²,"Apartamento en arriendo en la visitación, medellín"
$ 1.300.000,"Apartamento en Medellín, Antioquia",3 Habs. ,1 Baño,46 m²,"Apartamento en arriendo en laureles, medellín"
$ 6.100.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,120 m²,"Apartamento en arriendo en el poblado, medellín"
$ 4.700.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,90 m²,"Apartamento en arriendo en el poblado, envigado"
$ 7.200.000,"Apartamento en Medellín, Antioquia",3 Habs. ,4 Baños,100 m²,"Apartamento en arriendo en calasanz, medellín"
$ 6.000.000,"Apartamento en Medellín, Antioquia",3 Habs. ,2 Baños,120 m²,"Apartamento en arriendo en el poblado, medellín"
$ 2.550.000,"Apartamento en Medellín, Antioquia",2 Habs. ,1 Baño,48 m²,Apartamento en arriendo en san diego
$ 28.000.000,"Casa en Medellín, Antioquia",4 Habs. ,4 Baños,408 m²,Casa en arriendo en medellín
$ 3.600.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,90 m²,"Apartamento en arriendo en vía las palmas, medellín"
$ 3.000.000,"Apartamento en Medellín, Antioquia",2 Habs. ,2 Baños,65 m²,"Apartamento en arriendo en castropol, medellín"
$ 2.800.000,"Apartamento en Medellín, Antioquia",3 Habs. ,3 Baños,75 m²,"Apartamento en arriendo en belén, medellín"
